[+] El directorio ya está creado...
{"ok":true,"result":{"message_id":40,"from":{"id":5291565375,"is_bot":true,"first_name":"Robocop","username":"Stilubot"},"chat":{"id":857644731,"first_name":"Juanjo","username":"konguele","type":"private"},"date":1649412063,"text":"He sido configurado"}}Fri Apr  8 12:01:07 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:01:53 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:02:00 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:02:27 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:04:02 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:05:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:06:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:07:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:07:44 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:10:15 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:11:00 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:12:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:12:48 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:13:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:14:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:15:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:16:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:16:03 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:17:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:18:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:19:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:20:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:21:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:22:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:23:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:23:39 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:24:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:24:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:25:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:25:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:26:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:26:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:27:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:27:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:28:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:28:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:29:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:29:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:30:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:30:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:31:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:31:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:32:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:32:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:33:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 12:33:01 CEST 2022 Llamada a Robocop...
